index,place,age,age_class,age_class2,x,y,distance,x_axis,Whether_job,title,r,,
292,Dean,48,6,3,401.2095094,238.3382448,122.747653,0.636351077,no,,0.85,,
293,Jiujiang,48,6,3,404.9962861,229.5509702,115.3463498,0.63670228,no,,0.85,,
294,Hukou,48,6,3,408.8159615,228.4792903,115.540916,0.637307038,no,,0.85,,
295,Pengze,48,6,3,415.6685746,226.053962,115.7663468,0.637815545,no,,0.85,,
296,Guichi,48,6,3,429.2821125,207.0538791,105.5258007,0.637877087,no,,0.85,,
297,Wuhu,48,6,3,444.2633447,190.448698,102.4524799,0.638204437,no,,0.85,,
298,Dangtu,48,6,3,444.8880042,185.6151203,99.63532811,0.640069564,no,,0.85,,
299,Nanjing,48,6,3,449.0220324,174.4227479,95.95393284,0.641084829,no,,0.85,,
300,Liuhe,48,6,3,448.9082051,168.7075659,92.70717503,0.641113915,no,,0.85,,
301,Yizheng,48,6,3,455.1231768,169.1568783,98.25774133,0.641130758,no,,0.85,,
302,Zhenjiang,48,6,3,459.3517048,170.6153795,102.6478145,0.641270051,no,,0.85,,
303,Yizheng,48,6,3,455.1231768,169.1568783,98.25774133,0.642110971,no,,0.85,,
304,Changzhou,48,6,3,469.4561106,177.9093267,115.0491745,0.642130541,no,,0.85,,
305,Yixing,48,6,3,467.9198253,188.4750741,119.4949533,0.648976954,no,,0.85,,
306,Changzhou,48,6,3,469.4561106,177.9093267,115.0491745,0.649415809,no,,0.85,,
307,Yangzhou,48,6,3,458.691749,166.0964664,99.89155162,0.649617302,no,,0.85,,
308,Gaoyou,48,6,3,458.5788756,157.6609897,96.14645517,0.652018359,no,,0.85,,
309,Huaian,48,6,3,449.4287078,140.1776528,81.76399693,0.654187927,no,,0.85,,
310,Xuyi,48,6,3,449.4296894,118.9386556,79.12071267,0.656219017,no,,0.85,,
311,Lingbi,49,6,3,425.5027006,143.7367912,60.26132179,0.656278259,no,,0.85,,
312,Suzhou,49,6,3,415.4350122,142.2143226,50.49886098,0.659322441,no,,0.85,,
313,Shangqiu,49,6,3,392.8082867,126.8164335,23.64352794,0.660453066,no,,0.85,,
314,Lingbi,49,6,3,425.5027006,143.7367912,60.26132179,0.661987174,no,,0.85,,
315,Xuyi,49,6,3,449.4296894,118.9386556,79.12071267,0.664650573,no,,0.85,,
316,Yangzhou,49,6,3,458.691749,166.0964664,99.89155162,0.665854956,no,,0.85,,
317,Yizheng,49,6,3,455.1231768,169.1568783,98.25774133,0.668593758,no,,0.85,,
318,Yangzhou,49,6,3,458.691749,166.0964664,99.89155162,0.670212505,no,,0.85,,
319,Changzhou,49,6,3,469.4561106,177.9093267,115.0491745,0.673986283,no,,0.85,,
320,Zhenjiang,49,6,3,459.3517048,170.6153795,102.6478145,0.67418781,no,,0.85,,
321,Yizheng,49,6,3,455.1231768,169.1568783,98.25774133,0.674239635,no,,0.85,,
322,Zhenjiang,49,6,3,459.3517048,170.6153795,102.6478145,0.674696836,no,,0.85,,
323,Yizheng,49,6,3,455.1231768,169.1568783,98.25774133,0.675262884,no,,0.85,,
324,Changzhou,49,6,3,469.4561106,177.9093267,115.0491745,0.675969168,no,,0.85,,
325,Zhenjiang,49,6,3,459.3517048,170.6153795,102.6478145,0.676300678,no,,0.85,,
326,Yangzhou,49,6,3,458.691749,166.0964664,99.89155162,0.680118421,no,,0.85,,
327,Taizhou,49,6,3,467.1378751,163.8763431,106.4933084,0.680578722,no,,0.85,,
328,Yangzhou,49,6,3,458.691749,166.0964664,99.89155162,0.682343181,no,,0.85,,
329,Huaian,49,6,3,449.4287078,140.1776528,81.76399693,0.682842037,no,,0.85,,
330,Lianshui,49,6,3,454.0922717,129.1617392,84.33132161,0.685250283,no,,0.85,,
331,Lianyungang,49,6,3,450.7747606,118.1794507,80.47502933,0.685407253,no,,0.85,,
332,Ganyu,49,6,3,449.4577321,112.9636268,79.41945275,0.685627555,no,,0.85,,
333,Zhucheng,49,6,3,450.7227866,87.12739214,86.69941002,0.68580614,no,,0.85,,
334,Mi,49,6,3,450.3966936,86.84460008,86.50355232,0.687514084,no,,0.85,,
335,Jiaozhou,49,6,3,460.0236284,80.17739531,97.9691955,0.688697274,no,,0.85,,
336,Penglai,49,6,3,467.6922382,44.8733329,122.7135863,0.689099206,yes,ä»___,2.4,,
337,Laizhou,49,6,3,456.4402454,60.23739357,104.5722942,0.68955452,no,,0.85,,
338,Yi,49,6,3,435.3108194,72.51036689,80.23102589,0.689753352,no,,0.85,,
339,Zhangqiu,49,6,3,419.5323033,73.95618813,67.08856275,0.690666093,no,,0.85,,
340,Jinan,49,6,3,411.0276571,75.6593029,59.8632666,0.692236202,no,,0.85,,
341,Zhangqing,49,6,3,407.3993759,78.44173904,55.36107327,0.693294964,no,,0.85,,
342,Dongping,49,6,3,403.835261,92.42783527,43.11721911,0.69451233,no,,0.85,,
343,Shangqiu,49,6,3,392.8082867,126.8164335,23.64352794,0.694582578,no,,0.85,,
344,Kaifeng,49,6,3,370.3112857,119.5431015,0,0.695127476,yes,æ­£ä__,3.5,,
345,Huaiyang,53,7,4,380.961468,142.4956709,25.30309915,0.700836951,no,,0.85,,
346,Shangqiu,53,7,4,392.8082867,126.8164335,23.64352794,0.701187106,no,,0.85,,
347,Suzhou,53,7,4,415.4350122,142.2143226,50.49886098,0.704806161,no,,0.85,,
348,Xuyi,53,7,4,449.4296894,118.9386556,79.12071267,0.71025369,no,,0.85,,
349,Huaian,53,7,4,449.4287078,140.1776528,81.76399693,0.71102285,no,,0.85,,
350,Gaoyou,53,7,4,458.5788756,157.6609897,96.14645517,0.711993616,no,,0.85,,
351,Yangzhou,53,7,4,458.691749,166.0964664,99.89155162,0.712167222,no,,0.85,,
352,Zhenjiang,53,7,4,459.3517048,170.6153795,102.6478145,0.719758576,no,,0.85,,
353,Changzhou,53,7,4,469.4561106,177.9093267,115.0491745,0.726847231,no,,0.85,,
354,Wuxi,53,7,4,475.9533703,184.2899363,123.9048129,0.732117931,no,,0.85,,
355,Suzhou,53,7,4,480.9142432,187.9033432,130.0236011,0.735795506,no,,0.85,,
356,Jiaxing,53,7,4,485.2194684,199.5819607,140.0361005,0.735983582,no,,0.85,,
357,Hangzhou,53,7,4,476.0695325,210.9741834,139.8014647,0.737813319,yes,æ­£ä__,3.5,,
358,Deqing,55,8,5,482.1704498,202.9382648,139.5250009,0.739850238,no,,0.85,,
359,Huzhou,55,8,5,473.4634106,197.6590489,129.3926664,0.743427876,no,,0.85,,
360,Wujiang,55,8,5,468.8847541,178.4901633,114.8541892,0.753823332,no,,0.85,,
361,Suzhou,55,8,5,480.9142432,187.9033432,130.0236011,0.75515724,no,,0.85,,
362,Changzhou,55,8,5,469.4561106,177.9093267,115.0491745,0.756340476,no,,0.85,,
363,Zhenjiang,55,8,5,459.3517048,170.6153795,102.6478145,0.757171701,no,,0.85,,
364,Yangzhou,55,8,5,458.691749,166.0964664,99.89155162,0.75736331,yes,æ­£ä__,3.5,,
365,Shangqiu,55,8,5,392.8082867,126.8164335,23.64352794,0.762369649,no,,0.85,,
366,Kaifeng,55,8,5,370.3112857,119.5431015,0,0.770007303,no,,0.85,,
367,Huaiyang,55,8,5,380.961468,142.4956709,25.30309915,0.770136559,no,,0.85,,
368,Jieshou,55,8,5,389.9649769,153.359188,39.11259754,0.778517726,no,,0.85,,
369,Fuyang,55,8,5,397.4872082,160.0947097,48.81560908,0.778842495,yes,æ­£ä__,3.5,,
370,Fengtai,56,8,6,412.7181394,163.14455,60.82291965,0.783519344,no,,0.85,,
371,Fengyang,56,8,6,426.6951619,158.6546646,68.62110363,0.784205524,no,,0.85,,
372,Xuyi,56,8,6,449.4296894,118.9386556,79.12071267,0.784764399,no,,0.85,,
373,Huaian,56,8,6,449.4287078,140.1776528,81.76399693,0.786480309,no,,0.85,,
374,Yangzhou,56,8,6,458.691749,166.0964664,99.89155162,0.78781138,no,,0.85,,
375,Yixing,56,8,6,467.9198253,188.4750741,119.4949533,0.790231566,no,,0.85,,
376,Xuyi,56,8,6,449.4296894,118.9386556,79.12071267,0.791572218,no,,0.85,,
377,Suzhou,56,8,6,415.4350122,142.2143226,50.49886098,0.792237928,no,,0.85,,
378,Shangqiu,56,8,6,392.8082867,126.8164335,23.64352794,0.793841688,no,,0.85,,
379,Kaifeng,56,8,6,370.3112857,119.5431015,0,0.793892566,no,,0.85,,
380,Qi,57,8,6,358.6649896,128.2718973,14.55431506,0.799431674,no,,0.85,,
381,Kaifeng,57,8,6,370.3112857,119.5431015,0,0.802010129,no,,0.85,,
382,Zhengzhou,57,8,6,359.2987477,121.0485049,11.11495535,0.803367125,no,,0.85,,
383,Kaifeng,57,8,6,370.3112857,119.5431015,0,0.805048762,no,,0.85,,
384,Fengqiu,57,8,6,371.9667939,114.0355049,5.75102848,0.808985825,no,,0.85,,
385,Huixian,57,8,6,361.581632,105.1857924,16.80295144,0.815895567,no,,0.85,,
386,Anyang,57,8,6,370.3816841,90.68166865,28.86151874,0.816444538,no,,0.85,,
387,Zhengding,57,8,6,371.0528435,45.23723867,74.30956307,0.817266817,no,,0.85,,
388,Dingzhou,57,8,6,378.136536,37.83664997,82.08031902,0.81842363,yes,æ­£ä__,3.5,,
389,Zhengding,58,8,6,371.0528435,45.23723867,74.30956307,0.822005714,no,,0.85,,
390,Lincheng,58,8,6,370.6416984,60.7960046,58.7480261,0.823691569,no,,0.85,,
391,Neiqiu,58,8,6,371.09641,64.23689963,55.31177441,0.824253181,no,,0.85,,
392,Xingtai,58,8,6,371.1366542,69.16501783,50.38484445,0.826189354,no,,0.85,,
393,Tangyin,58,8,6,369.9727645,94.67821319,24.86719261,0.827282391,no,,0.85,,
394,Hua,58,8,6,373.0054747,102.1737432,17.57706636,0.82923188,no,,0.85,,
395,Kaifeng,58,8,6,370.3112857,119.5431015,0,0.829718627,no,,0.85,,
396,Sui,58,8,6,383.1787991,126.6312685,14.69064369,0.830300812,no,,0.85,,
397,Linru,58,8,6,342.9010195,132.4353486,30.29080265,0.830879218,no,,0.85,,
398,Kaifeng,58,8,6,370.3112857,119.5431015,0,0.83453076,no,,0.85,,
399,Qi,58,8,6,358.6649896,128.2718973,14.55431506,0.836281105,no,,0.85,,
400,Ningling,58,8,6,387.0019237,126.2129853,17.97400205,0.838061875,no,,0.85,,
401,Shangqiu,58,8,6,392.8082867,126.8164335,23.64352794,0.838373991,no,,0.85,,
402,Suzhou,58,8,6,415.4350122,142.2143226,50.49886098,0.838504745,no,,0.85,,
403,Xuyi,58,8,6,449.4296894,118.9386556,79.12071267,0.839178393,no,,0.85,,
404,Huaian,58,8,6,449.4287078,140.1776528,81.76399693,0.839552761,no,,0.85,,
405,Gaoyou,58,8,6,458.5788756,157.6609897,96.14645517,0.840729871,no,,0.85,,
406,Yangzhou,58,8,6,458.691749,166.0964664,99.89155162,0.844429195,no,,0.85,,
407,Zhenjiang,58,8,6,459.3517048,170.6153795,102.6478145,0.845271867,no,,0.85,,
408,Yizheng,58,8,6,455.1231768,169.1568783,98.25774133,0.845921975,no,,0.85,,
409,Liuhe,58,8,6,448.9082051,168.7075659,92.70717503,0.849104086,no,,0.85,,
410,Nanjing,58,8,6,449.0220324,174.4227479,95.95393284,0.849429066,no,,0.85,,
411,Dangtu,58,8,6,444.8880042,185.6151203,99.63532811,0.849830788,no,,0.85,,
412,Pengze,58,8,6,415.6685746,226.053962,115.7663468,0.851148734,no,,0.85,,
413,Hukou,58,8,6,408.8159615,228.4792903,115.540916,0.858764959,no,,0.85,,
414,Jiujiang,58,8,6,404.9962861,229.5509702,115.3463498,0.861308858,no,,0.85,,
415,Douchang,58,8,6,409.1593982,238.6597524,125.2914697,0.863042324,no,,0.85,,
416,Nanchang,58,8,6,405.605506,254.726768,139.7150875,0.864399063,no,,0.85,,
417,Nanchang,58,8,6,403.8922695,251.8542404,136.5061169,0.870086977,no,,0.85,,
418,Jian,58,8,6,390.4095711,286.6410702,168.3023239,0.873072306,no,,0.85,,
419,Wanan,58,8,6,397.2583025,303.2002107,180.0547734,0.87729822,no,,0.85,,
420,Ganzhou,58,8,6,390.7371606,314.3394519,189.9883969,0.878237011,no,,0.85,,
421,Shangyou,58,8,6,383.5355555,315.512855,190.5229781,0.879341877,no,,0.85,,
422,Dayu,58,8,6,380.5980916,323.1645611,197.7647009,0.884615845,no,,0.85,,
423,Nanxiong,58,8,6,380.0065296,330.1878758,204.5417421,0.886179639,no,,0.85,,
424,Shixing,58,8,6,375.7109212,334.0244132,208.1127916,0.886672478,no,,0.85,,
425,Shaoguan,58,8,6,367.0125461,337.3117528,211.2598253,0.88695817,no,,0.85,,
426,Yingde,58,8,6,364.1695785,350.7540775,214.2578382,0.888327267,no,,0.85,,
427,Qingyuan,58,8,6,357.699766,361.6591879,224.5882985,0.892182238,no,,0.85,,
428,Guangzhou,58,8,6,362.0555468,373.279732,235.1733101,0.892361509,no,,0.85,,
429,Boluo,58,8,6,381.541436,371.5976351,233.7223533,0.89472876,no,,0.85,,
430,Huizhou,58,8,6,383.9390306,372.7938242,234.9382199,0.895296908,yes,ä»___,2,,
431,Boluo,59,8,6,381.541436,371.5976351,233.7223533,0.897885421,no,,0.85,,
432,Huizhou,59,8,6,383.9390306,372.7938242,234.9382199,0.899389613,no,,0.85,,
433,Boluo,59,8,6,381.541436,371.5976351,233.7223533,0.899616521,no,,0.85,,
434,Huizhou,59,8,6,383.9390306,372.7938242,234.9382199,0.902114941,no,,0.85,,
435,Guangzhou,61,8,6,362.0555468,373.279732,235.1733101,0.902410832,no,,0.85,,
436,Xinhui,61,8,6,362.4599409,381.5957977,242.861445,0.902425335,no,,0.85,,
437,Wuzhou,61,8,6,324.2870728,366.851097,233.0271544,0.902606729,no,,0.85,,
438,Teng,61,8,6,317.4319282,369.0417731,236.2570521,0.903364321,no,,0.85,,
439,Rong,61,8,6,202.1836156,235.6577998,198.1972225,0.903470436,no,,0.85,,
440,Gaozhou,61,8,6,307.1026919,413.6256387,268.4327704,0.90408749,no,,0.85,,
441,Leizhou,61,8,6,301.9690776,421.1979648,276.019066,0.906485794,no,,0.85,,
442,Xuwen,61,8,6,303.5536294,433.60141,286.5273997,0.906757324,no,,0.85,,
443,Qiongshan,61,8,6,307.0844499,440.3253669,291.7737174,0.908000179,yes,æ­£ä__,1.7,,
444,Danzhou,61,8,6,288.4677048,449.4960596,303.3731175,0.913862417,no,,0.85,,
445,Haikou,62,8,6,304.0500133,439.5427231,291.625498,0.913914319,no,,0.85,,
446,Danzhou,62,8,6,288.4677048,449.4960596,303.3731175,0.914928819,no,,0.85,,
447,Lingshui,64,8,6,300.665939,471.2960492,306,0.916639786,no,,0.85,,
448,Danzhou,64,8,6,288.4677048,449.4960596,303.3731175,0.919055158,no,,0.85,,
449,Chengmai,64,8,6,299.9269611,446.963501,298.8648415,0.920197016,no,,0.85,,
450,Qiongshan,64,8,6,307.0844499,440.3253669,291.7737174,0.923350141,no,,0.85,,
451,Xuwen,64,8,6,303.5536294,433.60141,286.5273997,0.925572539,no,,0.85,,
452,Leizhou,64,8,6,301.9690776,421.1979648,276.019066,0.926175449,no,,0.85,,
453,Suixi,64,8,6,304.9444748,411.4420058,266.9421701,0.926196041,no,,0.85,,
454,Lianjiang,64,8,6,305.6460208,406.5569054,262.5514813,0.926794177,no,,0.85,,
455,Hepu,64,8,6,284.8102713,405.4057092,266.2701689,0.927167364,no,,0.85,,
456,Bobai,64,8,6,292.5558435,374.7354941,247.1273084,0.92929698,no,,0.85,,
457,Yulin,64,8,6,303.577445,384.4744206,253.0852103,0.93014775,no,,0.85,,
458,Rong,64,8,6,202.1836156,235.6577998,198.1972225,0.932389145,no,,0.85,,
459,Teng,64,8,6,317.4319282,369.0417731,236.2570521,0.933124929,no,,0.85,,
460,Wuzhou,64,8,6,324.2870728,366.851097,233.0271544,0.93329611,no,,0.85,,
461,Deqing,64,8,6,333.9751442,373.7275659,237.8574901,0.93504494,no,,0.85,,
462,Guangzhou,64,8,6,362.0555468,373.279732,235.1733101,0.939344188,no,,0.85,,
463,Qingyuan,64,8,6,357.699766,361.6591879,224.5882985,0.93942411,no,,0.85,,
464,Yingde,64,8,6,364.1695785,350.7540775,214.2578382,0.94619311,no,,0.85,,
465,Shaoguan,64,8,6,367.0125461,337.3117528,211.2598253,0.952066083,no,,0.85,,
466,Nanxiong,65,8,6,380.0065296,330.1878758,204.5417421,0.953284363,no,,0.85,,
467,Dayu,65,8,6,380.5980916,323.1645611,197.7647009,0.955664428,no,,0.85,,
468,Nankang,65,8,6,387.8665246,318.1444157,193.3944258,0.956164352,no,,0.85,,
469,Ganzhou,65,8,6,390.7371606,314.3394519,189.9883969,0.956694528,no,,0.85,,
470,Ruijin,65,8,6,409.8465009,311.4070025,190.0179983,0.957360737,no,,0.85,,
471,Ganzhou,65,8,6,390.7371606,314.3394519,189.9883969,0.957793079,no,,0.85,,
472,Jian,65,8,6,390.4095711,286.6410702,168.3023239,0.96547892,no,,0.85,,
473,Xingan,65,8,6,396.8714963,272.6846103,155.427689,0.966506184,no,,0.85,,
474,Nanchang,65,8,6,403.8922695,251.8542404,136.5061169,0.966898713,no,,0.85,,
475,Nanchang,65,8,6,405.605506,254.726768,139.7150875,0.968598366,no,,0.85,,
476,Xingzi,65,8,6,406.1035713,235.0462866,120.9217659,0.970032893,no,,0.85,,
477,Jiujiang,65,8,6,404.9962861,229.5509702,115.3463498,0.971238335,no,,0.85,,
478,Hukou,65,8,6,408.8159615,228.4792903,115.540916,0.971329437,no,,0.85,,
479,Tongling,65,8,6,434.3801393,200.2191482,103.0215633,0.972140479,no,,0.85,,
480,Wuhu,65,8,6,444.2633447,190.448698,102.4524799,0.974950482,no,,0.85,,
481,Dangtu,65,8,6,444.8880042,185.6151203,99.63532811,0.982663905,no,,0.85,,
482,Nanjing,65,8,6,449.0220324,174.4227479,95.95393284,0.986087279,no,,0.85,,
483,Yizheng,65,8,6,455.1231768,169.1568783,98.25774133,0.987816841,no,,0.85,,
484,Zhenjiang,65,8,6,459.3517048,170.6153795,102.6478145,0.99013702,no,,0.85,,
485,Yizheng,65,8,6,455.1231768,169.1568783,98.25774133,0.991040355,no,,0.85,,
486,Zhenjiang,65,8,6,459.3517048,170.6153795,102.6478145,0.997548613,no,,0.85,,
487,Changzhou,65,8,6,469.4561106,177.9093267,115.0491745,0.999641583,no,,0.85,,
