index,place,age,age_class,age_class2,x,y,distance,x_axis,Whether_job,title,r,,
65,Xian,26,2,1,282.732921,131.0543564,88.33164182,0.147936191,no,,0.85,,85.68169257
66,Fengxiang,26,2,1,257.5421318,126.6091468,112.990314,0.148462848,no,,0.85,,109.6006046
67,Fufeng,26,2,1,265.645964,130.0414982,105.1905218,0.150995335,no,,0.85,,102.0348061
68,Fengxiang,27,2,1,257.5421318,126.6091468,112.990314,0.155350679,no,,0.85,,109.6006046
69,Xian,27,2,1,282.732921,131.0543564,88.33164182,0.156614917,no,,0.85,,85.68169257
70,Baoji,27,2,1,254.815414,130.0774922,115.9752981,0.159756425,no,,0.85,,112.4960392
71,Fengxiang,27,2,1,257.5421318,126.6091468,112.990314,0.16164749,no,,0.85,,109.6006046
72,Baoji,27,2,1,254.815414,130.0774922,115.9752981,0.16175837,no,,0.85,,112.4960392
73,Mei,27,2,1,263.1668514,132.1736632,107.8863331,0.162378536,no,,0.85,,104.6497431
74,Qishan,27,2,1,261.131108,128.47573,109.5449819,0.162706533,no,,0.85,,106.2586324
75,Fengxiang,27,2,1,257.5421318,126.6091468,112.990314,0.168905934,no,,0.85,,109.6006046
76,Zhouzhi,27,2,1,270.8180072,134.836397,100.6617968,0.171833655,no,,0.85,,97.6419429
77,Fengxiang,27,2,1,257.5421318,126.6091468,112.990314,0.172709156,no,,0.85,,109.6006046
78,Fufeng,27,2,1,265.645964,130.0414982,105.1905218,0.178336128,no,,0.85,,102.0348061
79,Fengxiang,27,2,1,257.5421318,126.6091468,112.990314,0.179071685,no,,0.85,,109.6006046
80,Zhouzhi,27,2,1,270.8180072,134.836397,100.6617968,0.180563778,no,,0.85,,97.6419429
81,Fengxiang,27,2,1,257.5421318,126.6091468,112.990314,0.182702054,no,,0.85,,109.6006046
82,Zhouzhi,28,2,1,270.8180072,134.836397,100.6617968,0.183223474,no,,0.85,,97.6419429
83,Mei,28,2,1,263.1668514,132.1736632,107.8863331,0.183587536,no,,0.85,,104.6497431
84,Zhouzhi,28,2,1,270.8180072,134.836397,100.6617968,0.185195713,no,,0.85,,
85,Fengxiang,28,2,1,257.5421318,126.6091468,112.990314,0.187264049,no,,0.85,,
86,Qishan,28,2,1,261.131108,128.47573,109.5449819,0.188432548,no,,0.85,,
87,Fengxiang,28,2,1,257.5421318,126.6091468,112.990314,0.193091645,no,,0.85,,
88,Zhouzhi,28,2,1,270.8180072,134.836397,100.6617968,0.206480536,no,,0.85,,
89,Fengxiang,28,2,1,257.5421318,126.6091468,112.990314,0.213182316,no,,0.85,,
90,Wugong,28,2,1,270.5549541,132.6433756,100.6128365,0.214702899,no,,0.85,,
91,Fengxiang,28,2,1,257.5421318,126.6091468,112.990314,0.220481384,no,,0.85,,
92,Xian,28,2,1,282.732921,131.0543564,88.33164182,0.220974717,no,,0.85,,
93,Lintong,28,2,1,287.1904993,130.5763362,83.84985026,0.221827711,no,,0.85,,
94,Weinan,29,2,1,292.0620354,127.6903992,78.6722545,0.227572586,no,,0.85,,
95,Huayin,29,2,1,301.6547237,126.2502926,68.98340311,0.232890801,no,,0.85,,
96,Shan,29,2,1,318.1611654,122.7036358,52.24580384,0.234483002,no,,0.85,,
97,Zhengzhou,29,2,1,359.2987477,121.0485049,11.11495535,0.235790933,no,,0.85,,
98,Kaifeng,29,2,1,370.3112857,119.5431015,0,0.237370952,yes,ä»___,2.4,,
99,Xuyi,30,2,1,449.4296894,118.9386556,79.12071267,0.240341837,no,,0.85,,
100,Ezhou,30,2,1,384.9555294,215.7432262,97.30836478,0.24382674,no,,0.85,,
101,Shishou,30,2,1,342.5117096,231.9199904,115.7643364,0.24391629,no,,0.85,,
102,Shashi,30,2,1,339.1876722,219.1226267,104.3300587,0.246606543,no,,0.85,,
103,Yichang,30,2,1,322.285137,211.1849285,103.4636913,0.249074465,no,,0.85,,
104,Yunyang,31,2,1,277.6592401,205.9177532,126.6687886,0.249605794,no,,0.85,,
105,Fengdou,31,2,1,260.5577878,228.9069768,154.9396253,0.249942855,no,,0.85,,
106,Chongqing,31,2,1,239.6691347,234.8676901,174.2616778,0.250551455,no,,0.85,,
107,Meishan,31,2,1,193.1413268,221.2806529,198.1739287,0.251925482,no,,0.85,,
108,Pengshan,31,2,1,193.9097193,219.3685193,196.6078417,0.252452526,no,,0.85,,
109,Meishan,31,2,1,193.1413268,221.2806529,198.1739287,0.255934916,no,,0.85,,
110,Leshan,31,2,1,190.8924489,232.5844118,205.6982302,0.258033171,no,,0.85,,
111,Yibin,31,2,1,205.2261869,250.8528278,204.6109964,0.263581596,no,,0.85,,
112,Meishan,32,2,1,193.1413268,221.2806529,198.1739287,0.264926827,no,,0.85,,
113,Chengdu,32,2,1,197.5652461,210.714813,189.4692713,0.26637308,no,,0.85,,
114,Meishan,32,2,1,193.1413268,221.2806529,198.1739287,0.267820523,no,,0.85,,
115,Qingshen,32,2,1,192.6873115,226.6176621,201.1791171,0.270514069,no,,0.85,,
116,Meishan,32,2,1,193.1413268,221.2806529,198.1739287,0.272488257,no,,0.85,,
117,Guangyuan,32,2,1,230.0045593,171.6220839,149.6602749,0.274477549,no,,0.85,,
118,Fengxiang,32,2,1,257.5421318,126.6091468,112.990314,0.276203057,no,,0.85,,
119,Xian,32,2,1,282.732921,131.0543564,88.33164182,0.2762512,no,,0.85,,
120,Kaifeng,33,2,1,370.3112857,119.5431015,0,0.278999512,yes,ä»___,2.4,,
121,Huaiyang,35,3,1,380.961468,142.4956709,25.30309915,0.279748674,no,,0.85,,
122,Fuyang,35,3,1,397.4872082,160.0947097,48.81560908,0.283977806,no,,0.85,,
123,Fengtai,35,3,1,412.7181394,163.14455,60.82291965,0.284407504,no,,0.85,,
124,Huaiyuan,35,3,1,420.5466151,156.8427984,62.56880784,0.286433725,no,,0.85,,
125,Fengyang,35,3,1,426.6951619,158.6546646,68.62110363,0.287672465,no,,0.85,,
126,Dingyuan,35,3,1,429.6622736,165.808563,75.2531242,0.290212198,no,,0.85,,
127,Fengyang,35,3,1,426.6951619,158.6546646,68.62110363,0.29067886,no,,0.85,,
128,Xuyi,35,3,1,449.4296894,118.9386556,79.12071267,0.29157489,no,,0.85,,
129,Huaian,35,3,1,449.4287078,140.1776528,81.76399693,0.294974137,no,,0.85,,
130,Yangzhou,35,3,1,458.691749,166.0964664,99.89155162,0.296730323,no,,0.85,,
131,Zhenjiang,35,3,1,459.3517048,170.6153795,102.6478145,0.297145266,no,,0.85,,
132,Suzhou,35,3,1,480.9142432,187.9033432,130.0236011,0.299684726,no,,0.85,,
133,Yuhang,35,3,1,478.2874696,207.622547,139.3443397,0.301487567,no,,0.85,,
134,Hangzhou,35,3,1,476.0695325,210.9741834,139.8014647,0.302209601,yes,ä»___,2.7,,
135,Yuhang,36,3,1,478.2874696,207.622547,139.3443397,0.303819626,no,,0.85,,
136,Linan,36,3,1,468.7144881,212.6810467,135.4912066,0.30556633,no,,0.85,,
137,Hangzhou,36,3,1,476.0695325,210.9741834,139.8014647,0.307897249,no,,0.85,,
138,Yuhang,36,3,1,478.2874696,207.622547,139.3443397,0.311314343,no,,0.85,,
139,Yanguan,36,3,1,482.5602205,206.4242175,141.9441851,0.311351314,no,,0.85,,
140,Hangzhou,36,3,1,476.0695325,210.9741834,139.8014647,0.314392389,no,,0.85,,
141,Huzhou,36,3,1,473.4634106,197.6590489,129.3926664,0.314988428,no,,0.85,,
142,Jiaxing,36,3,1,485.2194684,199.5819607,140.0361005,0.31517744,no,,0.85,,
143,Hangzhou,36,3,1,476.0695325,210.9741834,139.8014647,0.318165446,no,,0.85,,
144,Fuyang,37,3,1,473.182891,216.2559867,141.1947213,0.318464894,no,,0.85,,
145,Hangzhou,37,3,1,476.0695325,210.9741834,139.8014647,0.320940782,no,,0.85,,
146,Jiande,37,3,1,462.6536529,229.846042,143.8535765,0.328009507,no,,0.85,,
147,Jinhua,37,3,1,469.9873947,237.7866593,154.6507862,0.328527315,no,,0.85,,
148,Hangzhou,37,3,1,476.0695325,210.9741834,139.8014647,0.330929367,no,,0.85,,
149,Linan,37,3,1,468.7144881,212.6810467,135.4912066,0.332559816,no,,0.85,,
150,Hangzhou,37,3,1,476.0695325,210.9741834,139.8014647,0.33481227,no,,0.85,,
151,Linan,37,3,1,468.7144881,212.6810467,135.4912066,0.338966747,no,,0.85,,
152,Hangzhou,37,3,1,476.0695325,210.9741834,139.8014647,0.35032621,no,,0.85,,
153,Linan,37,3,1,468.7144881,212.6810467,135.4912066,0.352232318,no,,0.85,,
154,Yuhang,37,3,1,478.2874696,207.622547,139.3443397,0.352669944,no,,0.85,,
155,Fuyang,37,3,1,473.182891,216.2559867,141.1947213,0.354689091,no,,0.85,,
156,Hangzhou,37,3,1,476.0695325,210.9741834,139.8014647,0.356270448,no,,0.85,,
157,Fuyang,37,3,1,473.182891,216.2559867,141.1947213,0.357963713,no,,0.85,,
158,Hangzhou,37,3,1,476.0695325,210.9741834,139.8014647,0.361005506,no,,0.85,,
159,Yuhang,37,3,1,478.2874696,207.622547,139.3443397,0.36480199,no,,0.85,,
160,Jiaxing,37,3,1,485.2194684,199.5819607,140.0361005,0.36724434,no,,0.85,,
161,Suzhou,37,3,1,480.9142432,187.9033432,130.0236011,0.367932417,no,,0.85,,
162,Wuxi,37,3,1,475.9533703,184.2899363,123.9048129,0.3684168,no,,0.85,,
163,Changzhou,37,3,1,469.4561106,177.9093267,115.0491745,0.375349946,no,,0.85,,
164,Danyang,38,3,1,456.6006073,159.7353739,95.19068122,0.379669264,no,,0.85,,
165,Zhenjiang,38,3,1,459.3517048,170.6153795,102.6478145,0.382545428,no,,0.85,,
166,Danyang,38,3,1,456.6006073,159.7353739,95.19068122,0.390742476,no,,0.85,,
167,Changzhou,38,3,1,469.4561106,177.9093267,115.0491745,0.391571889,no,,0.85,,
168,Yixing,38,3,1,467.9198253,188.4750741,119.4949533,0.393949847,no,,0.85,,
169,Wuxi,38,3,1,475.9533703,184.2899363,123.9048129,0.39484852,no,,0.85,,
170,Suzhou,38,3,1,480.9142432,187.9033432,130.0236011,0.39542013,no,,0.85,,
171,Wujiang,38,3,1,468.8847541,178.4901633,114.8541892,0.396301102,no,,0.85,,
172,Jiaxing,38,3,1,485.2194684,199.5819607,140.0361005,0.397438109,no,,0.85,,
173,Hangzhou,38,3,1,476.0695325,210.9741834,139.8014647,0.407894963,no,,0.85,,
174,Yuhang,38,3,1,478.2874696,207.622547,139.3443397,0.410580765,no,,0.85,,
175,Hangzhou,38,3,1,476.0695325,210.9741834,139.8014647,0.410663488,no,,0.85,,
176,Fuyang,38,3,1,473.182891,216.2559867,141.1947213,0.414480266,no,,0.85,,
177,Linan,38,3,1,468.7144881,212.6810467,135.4912066,0.414609949,no,,0.85,,
178,Hangzhou,38,3,1,476.0695325,210.9741834,139.8014647,0.41471876,no,,0.85,,
179,Linan,38,3,1,468.7144881,212.6810467,135.4912066,0.416021105,no,,0.85,,
180,Fuyang,38,3,1,473.182891,216.2559867,141.1947213,0.417530037,no,,0.85,,
181,Linan,38,3,1,468.7144881,212.6810467,135.4912066,0.418407732,no,,0.85,,
182,Hangzhou,38,3,1,476.0695325,210.9741834,139.8014647,0.418814191,no,,0.85,,
183,Yanguan,38,3,1,482.5602205,206.4242175,141.9441851,0.42140806,no,,0.85,,
184,Hangzhou,38,3,1,476.0695325,210.9741834,139.8014647,0.424717939,no,,0.85,,
185,Huzhou,38,3,1,473.4634106,197.6590489,129.3926664,0.425922181,no,,0.85,,
186,Wujiang,38,3,1,468.8847541,178.4901633,114.8541892,0.428860957,no,,0.85,,
187,Qingpu,38,3,1,490.5300441,190.127676,139.4085078,0.43071591,no,,0.85,,
188,Suzhou,38,3,1,480.9142432,187.9033432,130.0236011,0.43089968,no,,0.85,,
189,Changzhou,38,3,1,469.4561106,177.9093267,115.0491745,0.433917985,no,,0.85,,
190,Zhenjiang,38,3,1,459.3517048,170.6153795,102.6478145,0.440361826,no,,0.85,,
191,Yangzhou,38,3,1,458.691749,166.0964664,99.89155162,0.442269475,no,,0.85,,
192,Gaoyou,38,3,1,458.5788756,157.6609897,96.14645517,0.443393949,no,,0.85,,
193,Huaian,38,3,1,449.4287078,140.1776528,81.76399693,0.444753122,no,,0.85,,
194,Lianyungang,38,3,1,450.7747606,118.1794507,80.47502933,0.446596856,no,,0.85,,
195,Zhucheng,38,3,1,450.7227866,87.12739214,86.69941002,0.446680947,yes,ä»___,2.7,,
196,Weifang,41,3,1,445.2633013,71.78892119,88.87219134,0.447275148,no,,0.85,,
197,Yi,41,3,1,435.3108194,72.51036689,80.23102589,0.448838805,no,,0.85,,
198,Jinan,41,3,1,411.0276571,75.6593029,59.8632666,0.451559777,no,,0.85,,
199,Dongping,41,3,1,403.835261,92.42783527,43.11721911,0.45360289,no,,0.85,,
200,Wenshang,41,3,1,404.4388158,96.89176328,40.96060835,0.454705328,no,,0.85,,
201,Juancheng,41,3,1,389.0120004,101.6391342,25.88954955,0.460050461,no,,0.85,,
202,Puyang,41,3,1,381.0326159,97.68815324,24.34308293,0.460385108,no,,0.85,,
203,Kaifeng,41,3,1,370.3112857,119.5431015,0,0.46817416,no,,0.85,,
204,Shangqiu,41,3,1,392.8082867,126.8164335,23.64352794,0.471205079,no,,0.85,,
205,Suzhou,41,3,1,415.4350122,142.2143226,50.49886098,0.471742659,no,,0.85,,
206,Xuzhou,41,3,1,419.8930362,129.5590715,50.58329406,0.473015333,yes,ä»___,2.7,,
207,Xiao,42,4,2,414.361622,130.393234,45.36692087,0.480897704,no,,0.85,,
208,Xuzhou,42,4,2,419.8930362,129.5590715,50.58329406,0.487064271,no,,0.85,,
209,Xiao,43,5,2,414.361622,130.393234,45.36692087,0.487774524,no,,0.85,,
210,Xuzhou,43,5,2,419.8930362,129.5590715,50.58329406,0.489070934,no,,0.85,,
211,Shangqiu,43,5,2,392.8082867,126.8164335,23.64352794,0.49034223,no,,0.85,,
212,Suzhou,43,5,2,415.4350122,142.2143226,50.49886098,0.490660605,no,,0.85,,
213,Lingbi,43,5,2,425.5027006,143.7367912,60.26132179,0.491846903,no,,0.85,,
214,Xuyi,43,5,2,449.4296894,118.9386556,79.12071267,0.49283883,no,,0.85,,
215,Gaoyou,43,5,2,458.5788756,157.6609897,96.14645517,0.494496123,no,,0.85,,
216,Zhenjiang,43,5,2,459.3517048,170.6153795,102.6478145,0.496031251,no,,0.85,,
217,Wuxi,43,5,2,475.9533703,184.2899363,123.9048129,0.502600073,no,,0.85,,
218,Suzhou,43,5,2,480.9142432,187.9033432,130.0236011,0.507512738,no,,0.85,,
219,Wujiang,43,5,2,468.8847541,178.4901633,114.8541892,0.509506521,no,,0.85,,
220,Huzhou,43,5,2,473.4634106,197.6590489,129.3926664,0.510838821,yes,ä»___,2.7,,
221,Wujiang,43,5,2,468.8847541,178.4901633,114.8541892,0.512245853,no,,0.85,,
222,Zhenjiang,43,5,2,459.3517048,170.6153795,102.6478145,0.512338601,no,,0.85,,
223,Yangzhou,43,5,2,458.691749,166.0964664,99.89155162,0.513657577,no,,0.85,,
224,Suzhou,43,5,2,415.4350122,142.2143226,50.49886098,0.51373353,no,,0.85,,
